NIP,"Nama Karyawan",Departemen,Jabatan
EMP001,"Budi Santoso",Operasional,"Staff Operasional"
EMP002,"Siti Rahayu",Administrasi,Admin
EMP003,"Ahmad Fauzi",Operasional,"Staff Operasional"
EMP004,"Dewi Lestari",Administrasi,Admin
EMP005,"Rizky Pratama",Operasional,"Staff Operasional"
EMP006,"Nur Hidayah",Administrasi,Admin
EMP007,"Agus Setiawan",Operasional,"Staff Operasional"
EMP008,"Rina Wulandari",Administrasi,Admin
EMP009,"Hendra Gunawan",Operasional,"Staff Operasional"
EMP010,"Fitri Handayani",Administrasi,Admin
EMP011,"Doni Kurniawan",Operasional,"Staff Operasional"
EMP012,"Yuli Astuti",Administrasi,Admin
EMP013,"Wahyu Hidayat",Operasional,"Staff Operasional"
EMP014,"Mega Permatasari",Operasional,"Staff Operasional"
EMP015,"Fajar Nugroho",Administrasi,Admin
EMP016,"Rini Susilowati",Operasional,"Staff Operasional"
EMP017,"Eko Prasetyo",Administrasi,Admin
EMP018,"Lia Anggraini",Operasional,"Staff Operasional"
EMP019,"Teguh Wahyudi",Administrasi,Admin
EMP020,"Ayu Rahmawati",Operasional,"Staff Operasional"
EMP021,"Surya Darma",Administrasi,Admin
EMP022,"Dina Puspitasari",Operasional,"Staff Operasional"
EMP023,"Bambang Wijaya",Administrasi,Admin
EMP024,"Sri Mulyani",Operasional,"Staff Operasional"
EMP025,"Hendri Saputra",Operasional,"Staff Operasional"
EMP026,"Nurul Aini",Administrasi,Admin
EMP027,"Arief Budiono",Operasional,"Staff Operasional"
EMP028,"Putri Maharani",Administrasi,Admin
EMP029,"Irwan Setiabudi",Operasional,"Staff Operasional"
EMP030,"Lilis Suryani",Administrasi,Admin
EMP031,"Galih Permana",Operasional,"Staff Operasional"
EMP032,"Winda Pertiwi",Administrasi,Admin
EMP033,"Susanto Hadi",Operasional,"Staff Operasional"
EMP034,"Ratna Dewi",Administrasi,Admin
EMP035,"Mochammad Iqbal",Operasional,"Staff Operasional"
