NIP,"Nama Karyawan",Departemen,"C1 - Kehadiran (BENEFIT)","C2 - Disiplin (BENEFIT)","C3 - Tanggung Jawab (BENEFIT)","C4 - Kerja Sama (BENEFIT)","C5 - Produktivitas (BENEFIT)","C6 - Inisiatif (BENEFIT)","C7 - Human Error (COST)"
EMP001,"Budi Santoso",Operasional,4,4,5,4,4,3,2
EMP002,"Siti Rahayu",Administrasi,5,4,4,5,3,4,1
EMP003,"Ahmad Fauzi",Operasional,3,3,4,3,5,3,3
EMP004,"Dewi Lestari",Administrasi,4,5,3,4,4,5,2
EMP005,"Rizky Pratama",Operasional,5,4,5,4,5,4,1
EMP006,"Nur Hidayah",Administrasi,2,5,2,2,4,4,1
EMP007,"Agus Setiawan",Operasional,3,5,5,5,5,4,1
EMP008,"Rina Wulandari",Administrasi,3,4,3,4,5,4,2
EMP009,"Hendra Gunawan",Operasional,5,2,4,2,4,4,3
EMP010,"Fitri Handayani",Administrasi,2,4,3,5,2,5,2
EMP011,"Doni Kurniawan",Operasional,3,3,2,3,2,3,1
EMP012,"Yuli Astuti",Administrasi,5,4,5,4,5,2,1
EMP013,"Wahyu Hidayat",Operasional,4,4,3,2,5,3,2
EMP014,"Mega Permatasari",Operasional,5,3,3,3,3,3,2
EMP015,"Fajar Nugroho",Administrasi,3,2,4,3,3,5,2
EMP016,"Rini Susilowati",Operasional,3,3,5,3,4,5,1
EMP017,"Eko Prasetyo",Administrasi,5,3,4,5,2,3,1
EMP018,"Lia Anggraini",Operasional,2,5,2,3,4,2,1
EMP019,"Teguh Wahyudi",Administrasi,3,2,5,5,5,2,3
EMP020,"Ayu Rahmawati",Operasional,2,4,2,2,2,4,2
EMP021,"Surya Darma",Administrasi,5,2,5,5,5,4,3
EMP022,"Dina Puspitasari",Operasional,4,2,5,4,4,2,2
EMP023,"Bambang Wijaya",Administrasi,2,3,4,3,2,5,3
EMP024,"Sri Mulyani",Operasional,2,5,5,3,2,5,3
EMP025,"Hendri Saputra",Operasional,4,3,5,2,4,5,1
EMP026,"Nurul Aini",Administrasi,3,4,4,2,4,2,3
EMP027,"Arief Budiono",Operasional,3,4,2,2,3,4,2
EMP028,"Putri Maharani",Administrasi,3,4,4,2,4,4,1
EMP029,"Irwan Setiabudi",Operasional,3,5,2,4,4,5,2
EMP030,"Lilis Suryani",Administrasi,2,5,2,5,5,3,3
EMP031,"Galih Permana",Operasional,4,4,2,4,4,2,3
EMP032,"Winda Pertiwi",Administrasi,2,5,4,4,4,3,1
EMP033,"Susanto Hadi",Operasional,3,3,2,3,2,2,1
EMP034,"Ratna Dewi",Administrasi,5,5,5,5,5,3,1
EMP035,"Mochammad Iqbal",Operasional,4,5,3,4,5,2,3
