Peringkat,NIP,"Nama Karyawan",Departemen,"Nilai Vi (SAW)"
1,EMP034,"Ratna Dewi",Administrasi,0.96
2,EMP005,"Rizky Pratama",Operasional,0.92
3,EMP007,"Agus Setiawan",Operasional,0.9
4,EMP012,"Yuli Astuti",Administrasi,0.88
5,EMP021,"Surya Darma",Administrasi,0.8567
6,EMP002,"Siti Rahayu",Administrasi,0.84
7,EMP004,"Dewi Lestari",Administrasi,0.805
8,EMP001,"Budi Santoso",Operasional,0.795
9,EMP035,"Mochammad Iqbal",Operasional,0.7767
10,EMP025,"Hendri Saputra",Operasional,0.77
11,EMP016,"Rini Susilowati",Operasional,0.76
12,EMP008,"Rina Wulandari",Administrasi,0.755
13,EMP017,"Eko Prasetyo",Administrasi,0.75
14,EMP032,"Winda Pertiwi",Administrasi,0.74
15,EMP019,"Teguh Wahyudi",Administrasi,0.7367
16,EMP029,"Irwan Setiabudi",Operasional,0.735
17,EMP030,"Lilis Suryani",Administrasi,0.7167
18,EMP013,"Wahyu Hidayat",Operasional,0.715
19,EMP022,"Dina Puspitasari",Operasional,0.715
20,EMP028,"Putri Maharani",Administrasi,0.71
21,EMP003,"Ahmad Fauzi",Operasional,0.6967
22,EMP009,"Hendra Gunawan",Operasional,0.6967
23,EMP031,"Galih Permana",Operasional,0.6767
24,EMP014,"Mega Permatasari",Operasional,0.675
25,EMP024,"Sri Mulyani",Operasional,0.6667
26,EMP010,"Fitri Handayani",Administrasi,0.645
27,EMP006,"Nur Hidayah",Administrasi,0.64
28,EMP026,"Nurul Aini",Administrasi,0.6367
29,EMP015,"Fajar Nugroho",Administrasi,0.635
30,EMP018,"Lia Anggraini",Operasional,0.63
31,EMP027,"Arief Budiono",Operasional,0.585
32,EMP023,"Bambang Wijaya",Administrasi,0.5767
33,EMP011,"Doni Kurniawan",Operasional,0.55
34,EMP033,"Susanto Hadi",Operasional,0.53
35,EMP020,"Ayu Rahmawati",Operasional,0.505
